Date ;Description;URL;Price;User;Reviews;Product;;;Date ,Description,URL,Price,User,Reviews,Product;;;;;
16-04-2015; MS15-034  Microsoft IIS Remote Code Execution; http://trdealmgn4uvm42g.onion/item/c61b9e0d8369546c47b6;507,4210326; bestbuy; 0 reviews;1Day Private Exploits;;;42110 MS15-034  Microsoft IIS Remote Code Execution http://trdealmgn4uvm42g.onion/item/c61b9e0d8369546c47b6507,4210326 bestbuy 0 reviews1Day Private Exploits;;;;;,
16-04-2015; Netis / Netcore router RCE; http://trdealmgn4uvm42g.onion/item/26717c05754d8cb16086;4,5; bestbuy; 0 reviews;1Day Private Exploits;;;42110 Netis / Netcore router RCE http://trdealmgn4uvm42g.onion/item/26717c05754d8cb160864,5 bestbuy 0 reviews1Day Private Exploits;;;;;
16-04-2015; NiceGuy Message spammer; http://trdealmgn4uvm42g.onion/item/0e404539857089829636;0,5; bestbuy; 0 reviews;Spam;;;42110 NiceGuy Message spammer http://trdealmgn4uvm42g.onion/item/0e4045398570898296360,5 bestbuy 0 reviewsSpam;;;;;
16-04-2015; FUDCHM download and execute; http://trdealmgn4uvm42g.onion/item/d25dd79e777d73772b77;2; bestbuy; 0 reviews;FUD Exploits;;;42110 FUDCHM download and execute http://trdealmgn4uvm42g.onion/item/d25dd79e777d73772b772 bestbuy 0 reviewsFUD Exploits;;;;;
16-04-2015; Wordpress Comment Spammer + Exploit; http://trdealmgn4uvm42g.onion/item/3b40d9e28a79ac0a075e;2,5; bestbuy; 0 reviews;Spam;;;42110 Wordpress Comment Spammer + Exploit http://trdealmgn4uvm42g.onion/item/3b40d9e28a79ac0a075e2,5 bestbuy 0 reviewsSpam;;;;;
16-04-2015; FUDjs download and execute; http://trdealmgn4uvm42g.onion/item/807601744afd4452b307;1,3; bestbuy; 0 reviews;FUD Exploits;;;42110 FUDjs download and execute http://trdealmgn4uvm42g.onion/item/807601744afd4452b3071,3 bestbuy 0 reviewsFUD Exploits;;;;;
16-04-2015; LSD Smileys LSD - 120ug - 1 Blotter; http://trdealmgn4uvm42g.onion/item/96259112bd42e1445465;0,03502545; buddhashop; 0 reviews;LSD;;;42110 LSD Smileys LSD - 120ug - 1 Blotter http://trdealmgn4uvm42g.onion/item/96259112bd42e14454650,03502545 buddhashop 0 reviewsLSD;;;;;
16-04-2015; Agora Message Spammer; http://trdealmgn4uvm42g.onion/item/746709460811baa62654;0,6; bestbuy; 0 reviews;Spam;;;42110 Agora Message Spammer http://trdealmgn4uvm42g.onion/item/746709460811baa626540,6 bestbuy 0 reviewsSpam;;;;;
16-04-2015; Adobe Flash < 16.0.0.296 (CVE-2015-0313); http://trdealmgn4uvm42g.onion/item/9c557991e653a953f398;2,5; bestbuy; 0 reviews;FUD Exploits;;;42110 Adobe Flash < 16.0.0.296 (CVE-2015-0313) http://trdealmgn4uvm42g.onion/item/9c557991e653a953f3982,5 bestbuy 0 reviewsFUD Exploits;;;;;
16-04-2015; Start your own maket; http://trdealmgn4uvm42g.onion/item/eb94d0e39b8f415c54c7;34,95586822; TRD_OFFICIAL; 0 reviews;Source Code;;;42110 Start your own maket http://trdealmgn4uvm42g.onion/item/eb94d0e39b8f415c54c734,95586822 TRD_OFFICIAL 0 reviewsSource Code;;;;;
27-04-2015; Custom for Chippersan; http://trdealmgn4uvm42g.onion/item/2f0741a01e6802d0ff9c;0,35; CanadianDirect; 0 reviews;Drugs;;;42121 Custom for Chippersan http://trdealmgn4uvm42g.onion/item/2f0741a01e6802d0ff9c0,35 CanadianDirect 0 reviewsDrugs;;;;;
16-04-2015; Adobe Flash < 16.0.0.287 (CVE-2015-0311); http://trdealmgn4uvm42g.onion/item/c8b6e0aa68f010099c7a;2,5; bestbuy; 0 reviews;FUD Exploits;;;42110 Adobe Flash < 16.0.0.287 (CVE-2015-0311) http://trdealmgn4uvm42g.onion/item/c8b6e0aa68f010099c7a2,5 bestbuy 0 reviewsFUD Exploits;;;;;
16-04-2015; Banking malware source code; http://trdealmgn4uvm42g.onion/item/ff79f6210bdcbf07c4ef;0,009427; ping; 0 reviews;Source Code;;;42110 Banking malware source code http://trdealmgn4uvm42g.onion/item/ff79f6210bdcbf07c4ef0,009427 ping 0 reviewsSource Code;;;;;
16-04-2015; Exploit BTS; http://trdealmgn4uvm42g.onion/item/4e7c03818304113c2a7b;221,9967018; bestbuy; 0 reviews;Hardware;;;42110 Exploit BTS http://trdealmgn4uvm42g.onion/item/4e7c03818304113c2a7b221,99670176 bestbuy 0 reviewsHardware;;;;;
16-04-2015; XTC MDMA 2x Purple ? 143mg; http://trdealmgn4uvm42g.onion/item/1f97ee040bc90f7b482b;0,03736048; buddhashop; 0 reviews;MDMA;;;42110 XTC MDMA 2x Purple ? 143mg http://trdealmgn4uvm42g.onion/item/1f97ee040bc90f7b482b0,03736048 buddhashop 0 reviewsMDMA;;;;;
16-04-2015; Alina POS malware full source code; http://trdealmgn4uvm42g.onion/item/40c261807f37f285ca1f;0,004097; ping; 0 reviews;Source Code;;;42110 Alina POS malware full source code http://trdealmgn4uvm42g.onion/item/40c261807f37f285ca1f0,004097 ping 0 reviewsSource Code;;;;;
16-04-2015; A5/1 Encryption Rainbow Tables; http://trdealmgn4uvm42g.onion/item/c2dbf5ff8f4482cd5b18;3,8; bestbuy; 0 reviews;Hardware;;;42110 A5/1 Encryption Rainbow Tables http://trdealmgn4uvm42g.onion/item/c2dbf5ff8f4482cd5b183,8 bestbuy 0 reviewsHardware;;;;;
