2015-04-16 ., HQ Pic inside -Lemon haze - 1 oz/ 28g ** FREE SHIPPING** ., http://trdealmgn4uvm42g.onion/item/34d981ea8a444f50fee5 ., BTC 0.96128638 ., DOX ., 0 reviews ., : Cannabis
2015-04-16 ., apple id / icloud remote exploit ., http://trdealmgn4uvm42g.onion/item/8d7947bb2837182cb77f ., BTC 1.00000000 ., fapple ., 0 reviews ., : Accounts
2015-04-16 ., Windows LAN Port tunneler ., http://trdealmgn4uvm42g.onion/item/385c278be9f86317357f ., BTC 2.30000000 ., bestbuy ., 0 reviews ., : Other Tools
2015-04-16 ., Android WebView 0day RCE ., http://trdealmgn4uvm42g.onion/item/86a2a5b9a2f80780b28f ., BTC 36.50000000 ., Logger ., 0 reviews ., : 0-Day exploits
2015-04-16 ., Medical Lemon Kush 10grams ., http://trdealmgn4uvm42g.onion/item/acdd120ec876ca3025d1 ., BTC 0.38710000 ., TwiceAsNice ., 0 reviews ., : Cannabis
2015-04-16 ., 1,103,504 FTP/SSH passwords ., http://trdealmgn4uvm42g.onion/item/47a728aacd615f78117e ., BTC 3.00000000 ., Logger ., 0 reviews ., : Accounts
2015-04-16 ., Wordpress MU RCE ., http://trdealmgn4uvm42g.onion/item/66195bb72c6254c8be4f ., BTC 4.50000000 ., bestbuy ., 0 reviews ., : 0-Day exploits
2015-04-16 ., 45K+ Wordpress admin passwords ., http://trdealmgn4uvm42g.onion/item/e08ac0e9139ead9619c3 ., BTC 1.50000000 ., Logger ., 0 reviews ., : Accounts
2015-04-16 ., Gas Kush - 7G - Free Shipping ., http://trdealmgn4uvm42g.onion/item/6a9feb26c84d5cdcd8a1 ., BTC 0.31520000 ., TwiceAsNice ., 0 reviews ., : Cannabis
2015-04-16 ., SSH sniffer logs ., http://trdealmgn4uvm42g.onion/item/8e33fb803f2c1f263018 ., BTC 1.20000000 ., bestbuy ., 0 reviews ., : Accounts
2015-04-16 ., 50G Mdma 84% Free Shipping ., http://trdealmgn4uvm42g.onion/item/67540cdbd6ab882418f7 ., BTC 2.80203615 ., NivekS ., 0 reviews ., : Drugs
2015-04-16 ., Haze OG 1-Oz + Bonus Free shipping ., http://trdealmgn4uvm42g.onion/item/b592b4f36a2f5ec7c53c ., BTC 0.98290000 ., TwiceAsNice ., 0 reviews ., : Cannabis
2015-04-16 ., 25G Mdma 84% Free Shipping ., http://trdealmgn4uvm42g.onion/item/0c5a477f466914810d63 ., BTC 1.63452109 ., NivekS ., 0 reviews ., : Drugs
2015-04-16 ., 10G Mdma 84% Free Shipping ., http://trdealmgn4uvm42g.onion/item/e793478383909820270c ., BTC 0.88731145 ., NivekS ., 0 reviews ., : Drugs
2015-04-16 ., 1G Mdma 84% Free Shipping ., http://trdealmgn4uvm42g.onion/item/c94956bd273dad819a0b ., BTC 0.11675151 ., NivekS ., 0 reviews ., : Drugs
2015-04-16 ., 250G Speed Paste 72% / Free Shipping ., http://trdealmgn4uvm42g.onion/item/e94b86f58e80205f1c6f ., BTC 2.80203615 ., NivekS ., 0 reviews ., : Drugs
2015-04-16 ., 100G Speed Paste 72% ., http://trdealmgn4uvm42g.onion/item/4538cddaa91cb351e52d ., BTC 1.40101807 ., NivekS ., 0 reviews ., : Speed
2015-04-16 ., 50G Speed Paste 72% Free Shipping ! ., http://trdealmgn4uvm42g.onion/item/3a8d2d86d2a1c2bd74b5 ., BTC 0.88731145 ., NivekS ., 0 reviews ., : Speed
2015-04-16 ., 25G Speed Paste 72% /  Free shipping ., http://trdealmgn4uvm42g.onion/item/38254228e3e5be678070 ., BTC 0.56040723 ., NivekS ., 0 reviews ., : Speed
2015-04-16 ., 10G Speed Paste 72% Free Shipping ! ., http://trdealmgn4uvm42g.onion/item/a1caa2d2256230141f64 ., BTC 0.28020361 ., NivekS ., 0 reviews ., : Speed
2015-04-16 ., Special offer : Amphetamines / Speed 1g ., http://trdealmgn4uvm42g.onion/item/b502c4d45a9711c2d92d ., BTC 0.02335030 ., abgal ., 0 reviews ., : Speed
2015-04-16 ., Methanol 5l ., http://trdealmgn4uvm42g.onion/item/ce1e6c4d79b24f2f9160 ., BTC 0.23350301 ., buddhashop ., 0 reviews ., : Misc
2015-04-16 ., Methanol 1l ., http://trdealmgn4uvm42g.onion/item/ed67c758d6bfa0bd9da6 ., BTC 0.06071078 ., buddhashop ., 0 reviews ., : Misc
2015-04-16 ., Custom listing for a9 ., http://trdealmgn4uvm42g.onion/item/fb24f19a5792233bfd9b ., BTC 0.01000000 ., bellend ., 0 reviews ., : Misc
2015-04-16 ., Custom Listing for e ., http://trdealmgn4uvm42g.onion/item/e967b50f7a92de4a9848 ., BTC 0.00000000 ., bestbuy ., 0 reviews ., : Misc
2015-04-16 ., Custom listing #6 ., http://trdealmgn4uvm42g.onion/item/081c606b03bc90d202ec ., BTC 1.20000000 ., bestbuy ., 0 reviews ., : Misc
2015-04-16 ., Linux botnet ., http://trdealmgn4uvm42g.onion/item/d1cd9d81b7be4934a0d7 ., BTC 2.00000000 ., bestbuy ., 0 reviews ., : Misc
2015-04-28 ., 1g Cocaine Grade AA++ ., http://trdealmgn4uvm42g.onion/item/29c5921eb30a891ff065 ., BTC 0.67676724 ., reepee911 ., 0 reviews ., : Cocaine
2015-04-28 ., 1g Cocaine Grade A+ ., http://trdealmgn4uvm42g.onion/item/c7a10b0fd2f0eca49950 ., BTC 0.52394883 ., reepee911 ., 0 reviews ., : Cocaine
2015-04-16 ., S.A.T. How to score a 12/12 ., http://trdealmgn4uvm42g.onion/item/05646eb62e26ba64f19c ., BTC 0.06947479 ., DOX ., 0 reviews ., : Information
2015-04-16 ., Coke machine **FREE DRINKS** ., http://trdealmgn4uvm42g.onion/item/24e45d937cb3d38cd6d5 ., BTC 0.02403216 ., DOX ., 0 reviews ., : Information
2015-04-16 ., Hacking For Dummies, 4th Edition ., http://trdealmgn4uvm42g.onion/item/7e7f086895e7ae41e5ca ., BTC 0.02053000 ., littleblackarnold ., 0 reviews ., : Information
2015-04-16 ., Beginning Programming with Java For Dummies ., http://trdealmgn4uvm42g.onion/item/b06317d2679bee7a6ce7 ., BTC 0.02065000 ., littleblackarnold ., 0 reviews ., : Information
2015-04-16 ., Building a Web Site For Dummies ., http://trdealmgn4uvm42g.onion/item/f11e7ee4efce7ee53ec2 ., BTC 0.02053000 ., littleblackarnold ., 0 reviews ., : Information
2015-04-16 ., 1x Code signing cert ., http://trdealmgn4uvm42g.onion/item/fe8314d487032fa51cc4 ., BTC 1.25000000 ., bestbuy ., 0 reviews ., : Information
2015-04-16 ., Unlimited REAL code signing ., http://trdealmgn4uvm42g.onion/item/62927212a9f52d9995dd ., BTC 4.20000000 ., bestbuy ., 0 reviews ., : Information
2015-04-28 ., 5x Track 1 & 2 Dumps AMEX (USA, UK, CA) ., http://trdealmgn4uvm42g.onion/item/8a8eb29f90edc82b970a ., BTC 0.65000000 ., CanadianDirect ., 0 reviews ., : Cards
2015-04-28 ., NiceGuy Message spammer ., http://trdealmgn4uvm42g.onion/item/0e404539857089829636 ., BTC 0.50000000 ., bestbuy ., 0 reviews ., : Spam
2015-04-28 ., FUD .CHM download and execute ., http://trdealmgn4uvm42g.onion/item/d25dd79e777d73772b77 ., BTC 2.00000000 ., bestbuy ., 0 reviews ., : FUD Exploits
2015-04-28 ., Wordpress Comment Spammer + Exploit ., http://trdealmgn4uvm42g.onion/item/3b40d9e28a79ac0a075e ., BTC 2.50000000 ., bestbuy ., 0 reviews ., : Spam
2015-04-28 ., Track 1 & 2 Dumps AMEX (USA, UK, CA) ., http://trdealmgn4uvm42g.onion/item/dc62027486d3613ac618 ., BTC 0.17500000 ., CanadianDirect ., 0 reviews ., : Cards
2015-04-28 ., FUD .js download and execute ., http://trdealmgn4uvm42g.onion/item/807601744afd4452b307 ., BTC 1.30000000 ., bestbuy ., 0 reviews ., : FUD Exploits
2015-04-28 ., Agora Message Spammer ., http://trdealmgn4uvm42g.onion/item/746709460811baa62654 ., BTC 0.60000000 ., bestbuy ., 0 reviews ., : Spam
2015-04-28 ., 10x Track 1 & 2 Dumps Business Visa/MC (USA, UK, CA) ., http://trdealmgn4uvm42g.onion/item/7d0c5a9fe77048d2a92a ., BTC 0.77500000 ., CanadianDirect ., 0 reviews ., : Cards
2015-04-28 ., Adobe Flash < 16.0.0.296 (CVE-2015-0313) ., http://trdealmgn4uvm42g.onion/item/9c557991e653a953f398 ., BTC 2.50000000 ., bestbuy ., 0 reviews ., : FUD Exploits
2015-04-28 ., 5x Track 1 & 2 Dumps Business Visa/MC (USA, UK, CA) ., http://trdealmgn4uvm42g.onion/item/fef6a3e16551b7da73ee ., BTC 0.47500000 ., CanadianDirect ., 0 reviews ., : Cards
2015-04-28 ., Track 1 & 2 Dumps Business Visa/MC (USA, UK, CA) ., http://trdealmgn4uvm42g.onion/item/e1db29b0553a0319a11d ., BTC 0.13500000 ., CanadianDirect ., 0 reviews ., : Cards
2015-04-16 ., Beretta 92EL ., http://trdealmgn4uvm42g.onion/item/6f8369ea9d49fec6a652 ., BTC 14.00000000 ., Gunsrourright ., 0 reviews ., : Weapons
2015-04-28 ., Adobe Flash < 16.0.0.287 (CVE-2015-0311) ., http://trdealmgn4uvm42g.onion/item/c8b6e0aa68f010099c7a ., BTC 2.50000000 ., bestbuy ., 0 reviews ., : FUD Exploits
